Date,Medication,Sales,Region,Temperature,Humidity,Flu_Cases,Pollen_Count,Google_Trends,Marketing_Spend,Holiday,Month,Season
2023-01-02,Fever Reducer,888,Calgary,-19.2,56.4,315.0,9.0,62.9,994.3,Not a Holiday,January,Winter
2023-01-03,Cold Relief,1644,Toronto,-5.1,58.6,263.0,12.0,78.9,3120.51,Not a Holiday,January,Winter
2023-01-03,Cold Relief,1498,Vancouver,3.8,64.36250633350656,269.0,11.0,96.93790346646676,3645.95,Not a Holiday,January,Winter
2023-01-03,Cold Relief,1113,Montreal,-0.48881564205350614,60.9,259.0,10.0,71.6,2820.18,Not a Holiday,January,Winter
2023-01-03,Cold Relief,1657,Calgary,-16.6,56.2,310.0,8.0,81.5,2730.48,Not a Holiday,January,Winter
2023-01-03,Allergy Relief,319,Toronto,-9.0,69.2,333.0,3.0,61.8,859.25,Not a Holiday,January,Winter
2023-01-03,Allergy Relief,383,Vancouver,9.1,59.4,171.26099967281158,14.0,62.4,679.71,Not a Holiday,January,Winter
2023-01-03,Allergy Relief,414,Montreal,0.9490866140713479,62.6,285.0,11.0,53.3,775.45,Not a Holiday,January,Winter
2023-01-03,Allergy Relief,415,Calgary,-14.7,57.94247931202333,302.0,14.0,50.7,1193.61,Not a Holiday,January,Winter
2023-01-03,Pain Relief,553,Toronto,-7.9,63.4,278.0,30.75297785701605,58.2,500.0,Not a Holiday,January,Winter
2023-01-03,Pain Relief,669,Vancouver,7.2,67.5,295.0,10.0,70.7,1115.22,Not a Holiday,January,Winter
2023-01-03,Pain Relief,629,Montreal,-16.2,59.6,307.0,4.0,73.7,718.04,Not a Holiday,January,Winter
2023-01-03,Pain Relief,647,Calgary,-18.2,59.7,308.0,-1.761518745438181,79.6,840.92,Not a Holiday,January,Winter
2023-01-03,Cough Suppressant,1293,Toronto,-5.3,54.8,284.0,10.0,68.0,1064.19,Not a Holiday,January,Winter
2023-01-03,Cough Suppressant,1589,Vancouver,4.3,63.1,201.21039008078625,9.0,82.6,545.44,Not a Holiday,January,Winter
2023-01-03,Cough Suppressant,3286,Montreal,-5.1,58.8,253.0,10.0,73.7,713.34,Not a Holiday,January,Winter
2023-01-03,Cough Suppressant,1389,Calgary,-14.4,56.2,284.0,8.013886720771573,60.8,1506.14,Not a Holiday,January,Winter
2023-01-03,Fever Reducer,803,Toronto,-5.0,67.4,271.0,11.0,54.6,1257.148346551829,Not a Holiday,January,Winter
2023-01-03,Fever Reducer,802,Vancouver,0.9,64.6,293.0,11.0,84.1,804.81,Not a Holiday,January,Winter
2023-01-03,Fever Reducer,989,Montreal,-11.8,55.7,270.0,5.0,59.2,1322.4570103728222,Not a Holiday,January,Winter
2023-01-03,Fever Reducer,853,Calgary,-17.9,60.5,303.0,13.0,72.5,771.02,Not a Holiday,January,Winter
2023-01-04,Cold Relief,1404,Toronto,-1.3854973640814698,60.2,276.0,8.0,79.3,2636.7,Not a Holiday,January,Winter
2023-01-04,Cold Relief,1324,Vancouver,5.1,55.7,291.0,7.0,76.2,3158.94,Not a Holiday,January,Winter
2023-01-04,Cold Relief,1761,Montreal,-17.4,56.0,292.0,6.0,80.9,2953.3,Not a Holiday,January,Winter
2023-01-04,Cold Relief,1492,Calgary,-14.2,61.7,283.0,12.0,75.9,3261.34,Not a Holiday,January,Winter
2023-01-04,Allergy Relief,382,Toronto,-1.4,58.0,297.0,10.0,50.2,1502.93,Not a Holiday,January,Winter
2023-01-04,Allergy Relief,267,Vancouver,4.3,64.1,327.0,11.0,27.9,1101.55,Not a Holiday,January,Winter
2023-01-04,Allergy Relief,374,Montreal,-8.1,71.4,325.0,6.0,58.3,743.17,Not a Holiday,January,Winter
2023-01-04,Allergy Relief,371,Calgary,-16.4,62.4,292.0,14.837223662733692,53.3,866.71,Not a Holiday,January,Winter
2023-01-04,Pain Relief,490,Toronto,-2.7,55.4,311.0,12.0,62.3,626.6,Not a Holiday,January,Winter
2023-01-04,Pain Relief,707,Vancouver,9.5,63.3,163.99965886511342,10.0,69.4,1032.82,Not a Holiday,January,Winter
2023-01-04,Pain Relief,664,Montreal,-8.6,61.1,311.0,11.0,85.9,846.64,Not a Holiday,January,Winter
2023-01-04,Pain Relief,584,Calgary,-15.4,60.3,304.0,3.0,80.9,696.37,Not a Holiday,January,Winter
2023-01-04,Cough Suppressant,1269,Toronto,-2.5,60.4,292.0,12.0,62.02071195464505,549.06,Not a Holiday,January,Winter
2023-01-04,Cough Suppressant,1253,Vancouver,4.2,46.5,329.0,11.0,74.5,919.33,Not a Holiday,January,Winter
2023-01-04,Cough Suppressant,3748,Montreal,-2.3,60.3,267.0,7.0,74.7,836.97,Not a Holiday,January,Winter
2023-01-04,Cough Suppressant,1491,Calgary,-14.7,58.7,301.0,9.0,90.0,897.19,Not a Holiday,January,Winter
2023-01-04,Fever Reducer,976,Toronto,-9.2,56.1,294.70019337693066,60.64928496659104,72.2,661.28,Not a Holiday,January,Winter
2023-01-04,Fever Reducer,794,Vancouver,6.5,53.9,274.0,14.0,72.1,675.68,Not a Holiday,January,Winter
2023-01-04,Fever Reducer,1001,Montreal,-8.2,58.5,284.0,18.23627708859516,74.2,944.53,Not a Holiday,January,Winter
2023-01-04,Fever Reducer,978,Calgary,-11.9,56.5,304.0,11.0,50.9,500.0,Not a Holiday,January,Winter
2023-01-05,Cold Relief,1560,Toronto,-4.4,59.5,314.0,35.327782133978175,81.1,3045.09,Not a Holiday,January,Winter
2023-01-05,Cold Relief,1252,Vancouver,4.8,90.99431756134004,307.0,6.0,62.9,3058.75,Not a Holiday,January,Winter
2023-01-05,Cold Relief,1936,Montreal,-8.8,51.5,308.0,7.0,82.6,3294.81,Not a Holiday,January,Winter
2023-01-05,Cold Relief,1209,Calgary,-12.0,50.8,301.0,5.0,67.2,2816.54,Not a Holiday,January,Winter
2023-01-05,Allergy Relief,341,Toronto,-7.8,53.2,311.0,11.0,64.43746329104201,1055.45,Not a Holiday,January,Winter
2023-01-05,Allergy Relief,419,Vancouver,7.1,57.1,300.0,8.0,51.2,989.5,Not a Holiday,January,Winter
2023-01-05,Allergy Relief,335,Montreal,-11.9,90.99431756134004,286.0,13.0,56.2,528.93,Not a Holiday,January,Winter
2023-01-05,Allergy Relief,426,Calgary,-15.7,59.6,282.0,14.0,56.2,1167.94,Not a Holiday,January,Winter
2023-01-05,Pain Relief,706,Toronto,-2.5,62.3,287.0,16.0,74.3,1062.31,Not a Holiday,January,Winter
2023-01-05,Pain Relief,687,Vancouver,1.2,54.6,337.0,8.0,80.5,1028.84,Not a Holiday,January,Winter
2023-01-05,Pain Relief,735,Montreal,-11.3,58.5,269.0,8.0,68.1,868.08,Not a Holiday,January,Winter
2023-01-05,Pain Relief,641,Calgary,-14.4,65.2,324.0,7.0,55.1,1024.69,Not a Holiday,January,Winter
2023-01-05,Cough Suppressant,1482,Toronto,-6.6,67.0,299.0,13.0,90.8,843.14,Not a Holiday,January,Winter
2023-01-05,Cough Suppressant,1310,Vancouver,-4.639920723233917,53.3,289.0,2.0,65.8,989.59,Not a Holiday,January,Winter
2023-01-05,Cough Suppressant,1271,Montreal,-5.3,55.0,316.0,9.0,74.5,1202.45,Not a Holiday,January,Winter
2023-01-05,Cough Suppressant,1351,Calgary,-13.9,60.8,329.8331108615574,7.0,79.9,813.06,Not a Holiday,January,Winter
2023-01-05,Fever Reducer,979,Toronto,-6.9,65.9,295.0,12.0,96.93790346646676,1189.88,Not a Holiday,January,Winter
2023-01-05,Fever Reducer,872,Vancouver,0.5,67.7,272.0,8.0,83.0,1085.76,Not a Holiday,January,Winter
2023-01-05,Fever Reducer,965,Montreal,-8.0,70.1,271.0,9.0,64.7,1427.9246981287931,Not a Holiday,January,Winter
2023-01-05,Fever Reducer,1324,Calgary,-14.3,59.9,299.0,13.0,76.9,1204.57,Not a Holiday,January,Winter
2023-01-06,Cold Relief,1768,Toronto,-3.734155737097833,58.2,316.0,12.0,93.8,3194.61,Not a Holiday,January,Winter
2023-01-06,Cold Relief,1105,Vancouver,5.4,66.0,280.0,71.10531994287568,71.8,3057.33,Not a Holiday,January,Winter
2023-01-06,Cold Relief,1664,Montreal,-14.1,63.7,331.8041567788233,13.0,82.5,3473.24,Not a Holiday,January,Winter
2023-01-06,Cold Relief,1446,Calgary,-14.2,63.0,274.0,12.0,96.93790346646676,3322.09,Not a Holiday,January,Winter
2023-01-06,Allergy Relief,387,Toronto,-4.6,56.5,292.0,12.0,65.7,980.27,Not a Holiday,January,Winter
2023-01-06,Allergy Relief,263,Vancouver,10.6,52.8,281.0,12.0,28.0,1073.14,Not a Holiday,January,Winter
2023-01-06,Allergy Relief,292,Montreal,-13.8,64.4,339.0,9.0,63.5255585949498,792.43,Not a Holiday,January,Winter
2023-01-06,Allergy Relief,407,Calgary,-14.3,58.8,330.91521949784436,11.0,53.5,975.35,Not a Holiday,January,Winter
2023-01-06,Pain Relief,678,Toronto,-4.0,61.30456565208224,315.0,13.0,72.0,1212.7,Not a Holiday,January,Winter
2023-01-06,Pain Relief,726,Vancouver,9.3,56.6,283.0,4.0,88.0,1252.19,Not a Holiday,January,Winter
2023-01-06,Pain Relief,643,Montreal,-11.3,50.6,295.0,11.0,77.9,1127.64,Not a Holiday,January,Winter
2023-01-06,Pain Relief,477,Calgary,-15.1,60.0,306.0,11.0,58.4,1062.51,Not a Holiday,January,Winter
2023-01-06,Cough Suppressant,1470,Toronto,-5.7,56.6,249.0,9.0,93.0,1192.25,Not a Holiday,January,Winter
2023-01-06,Cough Suppressant,1152,Vancouver,6.7,67.0,262.0,8.0,84.2,1395.22,Not a Holiday,January,Winter
2023-01-06,Cough Suppressant,1263,Montreal,-3.8,56.6,301.0,5.0,68.5,854.83,Not a Holiday,January,Winter
2023-01-06,Cough Suppressant,1356,Calgary,-13.7,62.6,308.0,10.0,69.3,1011.4,Not a Holiday,January,Winter
2023-01-06,Fever Reducer,972,Toronto,-2.4998692069197617,54.9,268.0,25.601386704250643,69.0,1194.16,Not a Holiday,January,Winter
2023-01-06,Fever Reducer,673,Vancouver,9.7,53.9,322.0,9.0,50.4,1323.6,Not a Holiday,January,Winter
2023-01-06,Fever Reducer,1082,Montreal,-10.5,64.4,288.0,15.0,79.8,1414.03,Not a Holiday,January,Winter
2023-01-06,Fever Reducer,1120,Calgary,-13.8,62.5,282.0,20.0,67.6,992.33,Not a Holiday,January,Winter
2023-01-07,Cold Relief,1301,Toronto,-3.4,58.1,267.58060743135206,9.0,76.4,2664.1,Not a Holiday,January,Winter
2023-01-07,Cold Relief,1172,Vancouver,8.5,57.7,286.0,6.0,83.5,3298.88,Not a Holiday,January,Winter
2023-01-07,Cold Relief,1686,Montreal,-14.7,57.9,306.0,30.32464248329552,76.8,3623.02,Not a Holiday,January,Winter
2023-01-07,Cold Relief,1626,Calgary,-13.7,65.2,284.0,8.0,82.4,3218.29,Not a Holiday,January,Winter
2023-01-07,Allergy Relief,422,Toronto,-2.8,59.6,290.0,2.0,59.2,1103.95,Not a Holiday,January,Winter
2023-01-07,Allergy Relief,316,Vancouver,-3.7,70.4,278.0,8.0,48.6,1166.7401884997928,Not a Holiday,January,Winter
2023-01-07,Allergy Relief,412,Montreal,-11.9,69.6,322.0,10.0,52.0,1315.2,Not a Holiday,January,Winter
2023-01-07,Allergy Relief,320,Calgary,-11.4,63.2,295.0,5.0,38.6,980.76,Not a Holiday,January,Winter
2023-01-07,Pain Relief,743,Toronto,0.016647036768286938,62.1,303.0,14.0,81.9,631.72,Not a Holiday,January,Winter
2023-01-07,Pain Relief,611,Vancouver,7.1,58.5,318.0,10.0,83.8,671.12,Not a Holiday,January,Winter
2023-01-07,Pain Relief,718,Montreal,-5.2,55.8,294.0,7.0,86.4,1302.95,Not a Holiday,January,Winter
2023-01-07,Pain Relief,821,Calgary,-8.2,64.9,301.0,9.0,66.8,1306.77,Not a Holiday,January,Winter
2023-01-07,Cough Suppressant,1525,Toronto,-0.8,62.8,317.0,17.0,82.6,1084.36,Not a Holiday,January,Winter
2023-01-07,Cough Suppressant,1559,Vancouver,4.8,56.2,299.0,8.0,72.2,1053.97,Not a Holiday,January,Winter
2023-01-07,Cough Suppressant,1444,Montreal,-7.2,52.1,311.0,9.0,96.93790346646676,709.5,Not a Holiday,January,Winter
2023-01-07,Cough Suppressant,1639,Calgary,-19.0,57.0,303.0,18.0,78.2,1067.17,Not a Holiday,January,Winter
2023-01-07,Fever Reducer,826,Toronto,-4.6,57.9,340.0,7.0,51.0,1524.87,Not a Holiday,January,Winter
2023-01-07,Fever Reducer,960,Vancouver,2.9,56.4,318.0,12.0,73.9,749.4,Not a Holiday,January,Winter
2023-01-07,Fever Reducer,1101,Montreal,-13.6,61.5,312.0,7.0,65.4,955.9,Not a Holiday,January,Winter
2023-01-07,Fever Reducer,869,Calgary,-8.4,57.2,305.0,12.0,66.45332927203656,1503.31,Not a Holiday,January,Winter
2023-01-08,Cold Relief,4389,Toronto,-3.3,68.1,288.0,35.37874956384478,73.5,2632.82,Not a Holiday,January,Winter
2023-01-08,Cold Relief,1282,Vancouver,2.7,61.2,324.0,10.0,64.4,3368.3,Not a Holiday,January,Winter
2023-01-08,Cold Relief,1420,Montreal,-5.0,62.1,298.0,7.0,78.9,2728.83,Not a Holiday,January,Winter
2023-01-08,Cold Relief,1768,Calgary,-11.3,65.5,331.0,9.0,75.12878205184603,3363.93,Not a Holiday,January,Winter
2023-01-08,Allergy Relief,355,Toronto,2.0,62.0,272.0,6.0,57.1,1287.01,Not a Holiday,January,Winter
2023-01-08,Allergy Relief,403,Vancouver,1.0,50.8,295.0,11.0,55.1,998.18,Not a Holiday,January,Winter
2023-01-08,Allergy Relief,360,Montreal,-9.8,59.5,294.0,13.0,63.111212887129696,773.28,Not a Holiday,January,Winter
2023-01-08,Allergy Relief,379,Calgary,-17.7,60.1,307.0,6.0,49.9,992.49,Not a Holiday,January,Winter
2023-01-08,Pain Relief,627,Toronto,-0.8,62.8,281.0,9.0,63.9,943.91,Not a Holiday,January,Winter
2023-01-08,Pain Relief,704,Vancouver,6.6,59.6,290.0,45.48696372494328,74.9,1517.1645518008443,Not a Holiday,January,Winter
2023-01-08,Pain Relief,621,Montreal,-5.4,66.1,280.0,13.0,63.60743215621561,898.87,Not a Holiday,January,Winter
2023-01-08,Pain Relief,699,Calgary,-15.9,58.1,318.0,8.0,71.7,500.0,Not a Holiday,January,Winter
2023-01-08,Cough Suppressant,1194,Toronto,-9.1,58.9,299.42041402404675,13.0,69.2,1478.08412084478,Not a Holiday,January,Winter
2023-01-08,Cough Suppressant,1115,Vancouver,6.2,52.6,344.0,5.0,76.8,1358.97,Not a Holiday,January,Winter
2023-01-08,Cough Suppressant,1339,Montreal,-10.1,55.3,279.0,12.0,61.3,515.93,Not a Holiday,January,Winter
2023-01-08,Cough Suppressant,1599,Calgary,-15.6,90.99431756134004,283.89663720176384,10.0,85.4,1222.63,Not a Holiday,January,Winter
2023-01-08,Fever Reducer,1102,Toronto,-1.1,67.8,267.0,6.0,85.1,1040.96,Not a Holiday,January,Winter
2023-01-08,Fever Reducer,745,Vancouver,5.6,53.3,292.0,12.0,55.3,1172.448510740974,Not a Holiday,January,Winter
2023-01-08,Fever Reducer,1183,Montreal,-7.0,56.2,306.0,7.0,78.3,1166.87,Not a Holiday,January,Winter
2023-01-08,Fever Reducer,978,Calgary,-8.5,56.8,304.0,13.0,74.3,890.51,Not a Holiday,January,Winter
2023-01-09,Cold Relief,1589,Toronto,-8.1,50.2,297.0,10.577147183271805,77.8,2916.96,Not a Holiday,January,Winter
2023-01-09,Cold Relief,1330,Vancouver,0.4432899768566507,64.3,322.0,15.0,74.2,1518.8861098814486,Not a Holiday,January,Winter
2023-01-09,Cold Relief,1539,Montreal,-8.5,63.7,315.0,6.0,84.0,2804.59,Not a Holiday,January,Winter
2023-01-09,Cold Relief,1335,Calgary,-13.2,66.2,312.0,11.0,80.2,3169.65,Not a Holiday,January,Winter
2023-01-09,Allergy Relief,316,Toronto,-2.7,61.32234746293824,307.0,6.0,47.9,744.84,Not a Holiday,January,Winter
2023-01-09,Allergy Relief,366,Vancouver,6.8,68.3,306.0,69.23899516350397,62.67136561196673,959.79,Not a Holiday,January,Winter
2023-01-09,Allergy Relief,438,Montreal,-12.4,63.2,343.0,8.0,57.2,888.15,Not a Holiday,January,Winter
2023-01-09,Allergy Relief,419,Calgary,-16.2,61.1,339.1298146148145,12.0,59.3,542.3,Not a Holiday,January,Winter
2023-01-09,Pain Relief,881,Toronto,-6.7,72.8,307.0,11.0,90.6,1362.51,Not a Holiday,January,Winter
2023-01-09,Pain Relief,703,Vancouver,6.8,63.9,300.0,4.0,64.5,1208.92,Not a Holiday,January,Winter
2023-01-09,Pain Relief,752,Montreal,-9.7,67.4,297.0,8.0,69.2,963.48,Not a Holiday,January,Winter
2023-01-09,Pain Relief,836,Calgary,-13.1,54.9,307.0,5.0,88.5,888.34,Not a Holiday,January,Winter
2023-01-09,Cough Suppressant,1370,Toronto,0.7,67.7,282.0,8.0,76.4,500.0,Not a Holiday,January,Winter
2023-01-09,Cough Suppressant,854,Vancouver,4.6,57.7,323.0,7.0,59.1,649.02,Not a Holiday,January,Winter
2023-01-09,Cough Suppressant,1389,Montreal,-10.1,68.9,297.0,13.0,65.0,1090.54,Not a Holiday,January,Winter
2023-01-09,Cough Suppressant,1280,Calgary,-11.3,59.5,287.0,15.0,73.0,1274.08,Not a Holiday,January,Winter
2023-01-09,Fever Reducer,841,Toronto,-0.5,58.6,266.0,15.0,65.07345064332506,1265.21,Not a Holiday,January,Winter
2023-01-09,Fever Reducer,709,Vancouver,-2.0052405141464504,60.3,334.0,9.0,70.2,1238.28,Not a Holiday,January,Winter
2023-01-09,Fever Reducer,928,Montreal,-9.1,53.2,298.0,11.0,57.7,756.92,Not a Holiday,January,Winter
2023-01-09,Fever Reducer,698,Calgary,-11.6,54.9,321.0,10.0,65.6,678.36,Not a Holiday,January,Winter
2023-01-10,Cold Relief,1527,Toronto,-3.7,64.5,298.0,11.0,80.2,2781.6,Not a Holiday,January,Winter
2023-01-10,Cold Relief,1077,Vancouver,9.1,56.8,281.0,13.0,72.0,1408.7470331754844,Not a Holiday,January,Winter
2023-01-10,Cold Relief,1648,Montreal,-10.9,52.2,242.0,10.0,78.2,3957.93,Not a Holiday,January,Winter
2023-01-10,Cold Relief,1965,Calgary,-17.3,57.9,284.0,8.0,75.90718687847814,3561.99,Not a Holiday,January,Winter
2023-01-10,Allergy Relief,326,Toronto,-6.3,66.4,329.0,6.0,43.6,1308.99,Not a Holiday,January,Winter
2023-01-10,Allergy Relief,417,Vancouver,3.8,55.2,297.0,5.0,54.2,1007.27,Not a Holiday,January,Winter
2023-01-10,Allergy Relief,451,Montreal,-10.2,62.3,307.0,28.50380990188529,61.9,1776.87,Not a Holiday,January,Winter
2023-01-10,Allergy Relief,372,Calgary,-14.0,61.0,282.0,13.0,96.93790346646676,698.04,Not a Holiday,January,Winter
2023-01-10,Pain Relief,647,Toronto,-1.0,59.4,298.0,10.0,60.0,848.57,Not a Holiday,January,Winter
2023-01-10,Pain Relief,762,Vancouver,6.6,58.8,279.0,9.0,66.3,1365.15,Not a Holiday,January,Winter
2023-01-10,Pain Relief,586,Montreal,-1.2698912038729375,57.8,299.0,36.29033821934469,58.2,1356.3,Not a Holiday,January,Winter
2023-01-10,Pain Relief,774,Calgary,-0.10767644295248857,61.4,285.0,8.0,67.4,1037.91,Not a Holiday,January,Winter
2023-01-10,Cough Suppressant,1536,Toronto,-8.0,56.6,308.0,13.0,79.1,927.62,Not a Holiday,January,Winter
2023-01-10,Cough Suppressant,940,Vancouver,10.7,59.3,298.0,10.0,65.3,839.4,Not a Holiday,January,Winter
2023-01-10,Cough Suppressant,1348,Montreal,-9.0,61.0,288.0,8.0,82.4,1184.61,Not a Holiday,January,Winter
2023-01-10,Cough Suppressant,1449,Calgary,-11.7,58.94492350486573,323.0,12.0,83.1,932.96,Not a Holiday,January,Winter
2023-01-10,Fever Reducer,1107,Toronto,-5.1,58.5,290.0,8.0,74.5,1513.18,Not a Holiday,January,Winter
2023-01-10,Fever Reducer,855,Vancouver,4.5,60.4,266.0,11.0,76.6,1292.56,Not a Holiday,January,Winter
2023-01-10,Fever Reducer,1064,Montreal,1.1727630114060652,65.0,301.0,8.0,70.1,1412.1,Not a Holiday,January,Winter
2023-01-10,Fever Reducer,1012,Calgary,-12.1,68.1,305.0,7.0,78.1,926.18,Not a Holiday,January,Winter
2023-01-11,Cold Relief,1443,Toronto,1.5,63.12391879788233,339.0,12.0,73.8,3058.38,Not a Holiday,January,Winter
2023-01-11,Cold Relief,1611,Vancouver,1.0,56.9,278.0,10.0,79.6,2548.58,Not a Holiday,January,Winter
2023-01-11,Cold Relief,1342,Montreal,-9.8,52.7,285.0,5.0,83.2,3402.14,Not a Holiday,January,Winter
2023-01-11,Cold Relief,1670,Calgary,-2.3068153453766236,59.2,271.0,5.0,86.7,3322.8,Not a Holiday,January,Winter
2023-01-11,Allergy Relief,309,Toronto,0.7,59.7,288.0,9.0,52.7,1152.62,Not a Holiday,January,Winter
2023-01-11,Allergy Relief,325,Vancouver,7.7,57.6,287.0,11.0,51.5,919.44,Not a Holiday,January,Winter
2023-01-11,Allergy Relief,347,Montreal,-16.5,56.4,276.0,13.0,47.8,805.0,Not a Holiday,January,Winter
2023-01-11,Allergy Relief,397,Calgary,-13.7,54.5,305.0,12.0,64.1,656.88,Not a Holiday,January,Winter
2023-01-11,Pain Relief,732,Toronto,-5.1,59.0,289.0,11.0,71.6,691.7,Not a Holiday,January,Winter
2023-01-11,Pain Relief,655,Vancouver,2.4,64.8,310.0,12.0,74.3,1300.17,Not a Holiday,January,Winter
2023-01-11,Pain Relief,759,Montreal,-5.8,58.7,318.0,15.0,77.9,500.0,Not a Holiday,January,Winter
2023-01-11,Pain Relief,772,Calgary,-20.0,65.2,294.0,9.0,81.3,907.59,Not a Holiday,January,Winter
2023-01-11,Cough Suppressant,1366,Toronto,-1.1,67.0,292.0,9.0,84.6,1484.67,Not a Holiday,January,Winter
2023-01-11,Cough Suppressant,1459,Vancouver,3.2,59.9,310.0,10.0,64.84279356782521,1163.89,Not a Holiday,January,Winter
2023-01-11,Cough Suppressant,1522,Montreal,-11.3,59.5,280.0,13.0,80.6,911.36,Not a Holiday,January,Winter
2023-01-11,Cough Suppressant,1458,Calgary,-16.0,65.9,346.0,9.0,78.7,641.82,Not a Holiday,January,Winter
2023-01-11,Fever Reducer,673,Toronto,0.2,71.2,2771.146768179456,9.0,57.1,813.75,Not a Holiday,January,Winter
2023-01-11,Fever Reducer,2216,Vancouver,3.6,50.1,304.0,9.0,72.5,500.0,Not a Holiday,January,Winter
2023-01-11,Fever Reducer,1209,Montreal,-6.7,69.8,306.0,9.0,91.4,549.11,Not a Holiday,January,Winter
