Date,Medication,Sales,Region,Temperature,Humidity,Flu_Cases,Pollen_Count,Google_Trends,Marketing_Spend,Holiday
2023-01-01,Fever Reducer,1108.0,Toronto,-2.6,53.8,318.0,10.0,67.6,1234.55,New Year's Day
2023-01-01,Fever Reducer,868.0,Vancouver,1.0,62.6,324.0,11.0,68.0,1087.92,New Year's Day
2023-01-01,Fever Reducer,1417.0,Montreal,-4.4,62.4,308.0,12.0,76.6,753.8,New Year's Day
2023-01-01,Fever Reducer,1405.0,Calgary,,64.1,273.0,8.0,84.0,976.87,New Year's Day
2023-01-02,Cold Relief,1469.0,Toronto,-4.2,64.1,316.0,11.0,86.3,,
2023-01-02,Cold Relief,1341.0,Vancouver,6.4,58.9,296.0,8.0,87.1,2866.05,
2023-01-02,Cold Relief,1644.0,Montreal,-9.4,,334.0,11.0,80.6,2657.11,
2023-01-02,Cold Relief,1919.0,Calgary,-13.3,65.4,293.0,10.0,90.5,3171.27,
2023-01-02,Allergy Relief,414.0,Toronto,-2.1,63.3,325.0,9.0,45.1,1024.56,
2023-01-02,Allergy Relief,267.0,Vancouver,-0.6,63.4,247.0,13.0,33.9,1019.28,
2023-01-02,Allergy Relief,265.0,Montreal,-12.1,63.4,306.0,10.0,29.7,1055.94,
2023-01-02,Allergy Relief,322.0,Calgary,-12.4,56.0,319.0,9.0,48.9,857.52,
2023-01-02,Pain Relief,677.0,Toronto,0.3,62.0,308.0,17.0,91.2,1309.74,
2023-01-02,Pain Relief,532.0,Vancouver,3.5,66.3,259.0,10.0,62.9,500.0,
2023-01-02,Pain Relief,793.0,Montreal,-10.8,53.8,295.0,11.0,84.4,569.24,
2023-01-02,Pain Relief,627.0,Calgary,-15.0,55.1,,16.0,74.6,1475.81,
2023-01-02,Cough Suppressant,1410.0,Toronto,1.4,50.2,336.0,7.0,77.8,813.19,
2023-01-02,Cough Suppressant,1582.0,Vancouver,3.5,57.1,276.0,8.0,83.5,,
2023-01-02,Cough Suppressant,1708.0,Montreal,-10.1,90.99431756134003,293.0,14.0,83.3,1244.05,
2023-01-02,Cough Suppressant,1348.0,Calgary,-14.9,63.4,294.0,15.0,71.9,1097.25,
2023-01-02,Fever Reducer,1195.0,Toronto,-4.7,63.0,307.0,8.0,76.6,1237.5,
2023-01-02,Fever Reducer,628.0,Vancouver,6.9,59.9,264.0,9.0,56.0,752.35,
2023-01-02,Fever Reducer,2494.254600712806,Montreal,-8.8,57.2,306.0,5.0,60.3,1069.61,
2023-01-02,Fever Reducer,888.0,Calgary,-19.2,56.4,315.0,9.0,62.9,994.3,
2023-01-03,Cold Relief,1644.0,Toronto,-5.1,58.6,263.0,12.0,78.9,3120.51,
2023-01-03,Cold Relief,1498.0,Vancouver,3.8,,269.0,11.0,96.93790346646676,3645.95,
2023-01-03,Cold Relief,1113.0,Montreal,,60.9,259.0,10.0,71.6,2820.18,
2023-01-03,Cold Relief,1657.0,Calgary,-16.6,56.2,310.0,8.0,81.5,2730.48,
2023-01-03,Allergy Relief,319.0,Toronto,-9.0,69.2,333.0,3.0,61.8,859.25,
2023-01-03,Allergy Relief,383.0,Vancouver,9.1,59.4,,14.0,62.4,679.71,
2023-01-03,Allergy Relief,414.0,Montreal,,62.6,285.0,11.0,53.3,775.45,
2023-01-03,Allergy Relief,415.0,Calgary,-14.7,,302.0,14.0,50.7,1193.61,
2023-01-03,Pain Relief,553.0,Toronto,-7.9,63.4,278.0,,58.2,500.0,
2023-01-03,Pain Relief,669.0,Vancouver,7.2,67.5,295.0,10.0,70.7,1115.22,
2023-01-03,Pain Relief,629.0,Montreal,-16.2,59.6,307.0,4.0,73.7,718.04,
2023-01-03,Pain Relief,647.0,Calgary,-18.2,59.7,308.0,,79.6,840.92,
2023-01-03,Cough Suppressant,1293.0,Toronto,-5.3,54.8,284.0,10.0,68.0,1064.19,
2023-01-03,Cough Suppressant,1589.0,Vancouver,4.3,63.1,,9.0,82.6,545.44,
2023-01-03,Cough Suppressant,3286.3693951209943,Montreal,-5.1,58.8,253.0,10.0,73.7,713.34,
2023-01-03,Cough Suppressant,1389.0,Calgary,-14.4,56.2,284.0,,60.8,1506.14,
2023-01-03,Fever Reducer,803.0,Toronto,-5.0,67.4,271.0,11.0,54.6,,
2023-01-03,Fever Reducer,802.0,Vancouver,0.9,64.6,293.0,11.0,84.1,804.81,
2023-01-03,Fever Reducer,989.0,Montreal,-11.8,55.7,270.0,5.0,59.2,,
2023-01-03,Fever Reducer,853.0,Calgary,-17.9,60.5,303.0,13.0,72.5,771.02,
2023-01-04,Cold Relief,1404.0,Toronto,,60.2,276.0,8.0,79.3,2636.7,
2023-01-04,Cold Relief,1324.0,Vancouver,5.1,55.7,291.0,7.0,76.2,3158.94,
2023-01-04,Cold Relief,1761.0,Montreal,-17.4,56.0,292.0,6.0,80.9,2953.3,
2023-01-04,Cold Relief,1492.0,Calgary,-14.2,61.7,283.0,12.0,75.9,3261.34,
2023-01-04,Allergy Relief,382.0,Toronto,-1.4,58.0,297.0,10.0,50.2,1502.93,
2023-01-04,Allergy Relief,267.0,Vancouver,4.3,64.1,327.0,11.0,27.9,1101.55,
2023-01-04,Allergy Relief,374.0,Montreal,-8.1,71.4,325.0,6.0,58.3,743.17,
2023-01-04,Allergy Relief,371.0,Calgary,-16.4,62.4,292.0,,53.3,866.71,
2023-01-04,Pain Relief,490.0,Toronto,-2.7,55.4,311.0,12.0,62.3,626.6,
2023-01-04,Pain Relief,707.0,Vancouver,9.5,63.3,,10.0,69.4,1032.82,
2023-01-04,Pain Relief,664.0,Montreal,-8.6,61.1,311.0,11.0,85.9,846.64,
2023-01-04,Pain Relief,584.0,Calgary,-15.4,60.3,304.0,3.0,80.9,696.37,
2023-01-04,Cough Suppressant,1269.0,Toronto,-2.5,60.4,292.0,12.0,,549.06,
2023-01-04,Cough Suppressant,1253.0,Vancouver,4.2,46.5,329.0,11.0,74.5,919.33,
2023-01-04,Cough Suppressant,3748.9402483440967,Montreal,-2.3,60.3,267.0,7.0,74.7,836.97,
2023-01-04,Cough Suppressant,1491.0,Calgary,-14.7,58.7,301.0,9.0,90.0,897.19,
2023-01-04,Fever Reducer,976.0,Toronto,-9.2,56.1,,60.64928496659104,72.2,661.28,
2023-01-04,Fever Reducer,794.0,Vancouver,6.5,53.9,274.0,14.0,72.1,675.68,
2023-01-04,Fever Reducer,1001.0,Montreal,-8.2,58.5,284.0,,74.2,944.53,
2023-01-04,Fever Reducer,978.0,Calgary,-11.9,56.5,304.0,11.0,50.9,500.0,
2023-01-05,Cold Relief,1560.0,Toronto,-4.4,59.5,314.0,,81.1,3045.09,
2023-01-05,Cold Relief,1252.0,Vancouver,4.8,90.99431756134003,307.0,6.0,62.9,3058.75,
2023-01-05,Cold Relief,1936.0,Montreal,-8.8,51.5,308.0,7.0,82.6,3294.81,
2023-01-05,Cold Relief,1209.0,Calgary,-12.0,50.8,301.0,5.0,67.2,2816.54,
2023-01-05,Allergy Relief,341.0,Toronto,-7.8,53.2,311.0,11.0,,1055.45,
2023-01-05,Allergy Relief,419.0,Vancouver,7.1,57.1,300.0,8.0,51.2,989.5,
2023-01-05,Allergy Relief,335.0,Montreal,-11.9,90.99431756134003,286.0,13.0,56.2,528.93,
2023-01-05,Allergy Relief,426.0,Calgary,-15.7,59.6,282.0,14.0,56.2,1167.94,
2023-01-05,Pain Relief,706.0,Toronto,-2.5,62.3,287.0,16.0,74.3,1062.31,
2023-01-05,Pain Relief,687.0,Vancouver,1.2,54.6,337.0,8.0,80.5,1028.84,
2023-01-05,Pain Relief,735.0,Montreal,-11.3,58.5,269.0,8.0,68.1,868.08,
2023-01-05,Pain Relief,641.0,Calgary,-14.4,65.2,324.0,7.0,55.1,1024.69,
2023-01-05,Cough Suppressant,1482.0,Toronto,-6.6,67.0,299.0,13.0,90.8,843.14,
2023-01-05,Cough Suppressant,1310.0,Vancouver,,53.3,289.0,2.0,65.8,989.59,
2023-01-05,Cough Suppressant,1271.0,Montreal,-5.3,55.0,316.0,9.0,74.5,1202.45,
2023-01-05,Cough Suppressant,1351.0,Calgary,-13.9,60.8,,7.0,79.9,813.06,
2023-01-05,Fever Reducer,979.0,Toronto,-6.9,65.9,295.0,12.0,96.93790346646676,1189.88,
2023-01-05,Fever Reducer,872.0,Vancouver,0.5,67.7,272.0,8.0,83.0,1085.76,
2023-01-05,Fever Reducer,965.0,Montreal,-8.0,70.1,271.0,9.0,64.7,,
2023-01-05,Fever Reducer,1324.0,Calgary,-14.3,59.9,299.0,13.0,76.9,1204.57,
2023-01-06,Cold Relief,1768.0,Toronto,,58.2,316.0,12.0,93.8,3194.61,
2023-01-06,Cold Relief,1105.0,Vancouver,5.4,66.0,280.0,,71.8,3057.33,
2023-01-06,Cold Relief,1664.0,Montreal,-14.1,63.7,,13.0,82.5,3473.24,
2023-01-06,Cold Relief,1446.0,Calgary,-14.2,63.0,274.0,12.0,96.93790346646676,3322.09,
2023-01-06,Allergy Relief,387.0,Toronto,-4.6,56.5,292.0,12.0,65.7,980.27,
2023-01-06,Allergy Relief,263.0,Vancouver,10.6,52.8,281.0,12.0,28.0,1073.14,
2023-01-06,Allergy Relief,292.0,Montreal,-13.8,64.4,339.0,9.0,,792.43,
2023-01-06,Allergy Relief,407.0,Calgary,-14.3,58.8,,11.0,53.5,975.35,
2023-01-06,Pain Relief,678.0,Toronto,-4.0,,315.0,13.0,72.0,1212.7,
2023-01-06,Pain Relief,726.0,Vancouver,9.3,56.6,283.0,4.0,88.0,1252.19,
2023-01-06,Pain Relief,643.0,Montreal,-11.3,50.6,295.0,11.0,77.9,1127.64,
2023-01-06,Pain Relief,477.0,Calgary,-15.1,60.0,306.0,11.0,58.4,1062.51,
2023-01-06,Cough Suppressant,1470.0,Toronto,-5.7,56.6,249.0,9.0,93.0,1192.25,
2023-01-06,Cough Suppressant,1152.0,Vancouver,6.7,67.0,262.0,8.0,84.2,1395.22,
2023-01-06,Cough Suppressant,1263.0,Montreal,-3.8,56.6,301.0,5.0,68.5,854.83,
2023-01-06,Cough Suppressant,1356.0,Calgary,-13.7,62.6,308.0,10.0,69.3,1011.4,
2023-01-06,Fever Reducer,972.0,Toronto,,54.9,268.0,,69.0,1194.16,
2023-01-06,Fever Reducer,673.0,Vancouver,9.7,53.9,322.0,9.0,50.4,1323.6,
2023-01-06,Fever Reducer,1082.0,Montreal,-10.5,64.4,288.0,15.0,79.8,1414.03,
2023-01-06,Fever Reducer,1120.0,Calgary,-13.8,62.5,282.0,20.0,67.6,992.33,
2023-01-07,Cold Relief,1301.0,Toronto,-3.4,58.1,,9.0,76.4,2664.1,
2023-01-07,Cold Relief,1172.0,Vancouver,8.5,57.7,286.0,6.0,83.5,3298.88,
2023-01-07,Cold Relief,1686.0,Montreal,-14.7,57.9,306.0,30.32464248329552,76.8,3623.02,
2023-01-07,Cold Relief,1626.0,Calgary,-13.7,65.2,284.0,8.0,82.4,3218.29,
2023-01-07,Allergy Relief,422.0,Toronto,-2.8,59.6,290.0,2.0,59.2,1103.95,
2023-01-07,Allergy Relief,316.0,Vancouver,-3.7,70.4,278.0,8.0,48.6,,
2023-01-07,Allergy Relief,412.0,Montreal,-11.9,69.6,322.0,10.0,52.0,1315.2,
2023-01-07,Allergy Relief,320.0,Calgary,-11.4,63.2,295.0,5.0,38.6,980.76,
2023-01-07,Pain Relief,743.0,Toronto,,62.1,303.0,14.0,81.9,631.72,
2023-01-07,Pain Relief,611.0,Vancouver,7.1,58.5,318.0,10.0,83.8,671.12,
2023-01-07,Pain Relief,718.0,Montreal,-5.2,55.8,294.0,7.0,86.4,1302.95,
2023-01-07,Pain Relief,821.0,Calgary,-8.2,64.9,301.0,9.0,66.8,1306.77,
2023-01-07,Cough Suppressant,1525.0,Toronto,-0.8,62.8,317.0,17.0,82.6,1084.36,
2023-01-07,Cough Suppressant,1559.0,Vancouver,4.8,56.2,299.0,8.0,72.2,1053.97,
2023-01-07,Cough Suppressant,1444.0,Montreal,-7.2,52.1,311.0,9.0,96.93790346646676,709.5,
2023-01-07,Cough Suppressant,1639.0,Calgary,-19.0,57.0,303.0,18.0,78.2,1067.17,
2023-01-07,Fever Reducer,826.0,Toronto,-4.6,57.9,340.0,7.0,51.0,1524.87,
2023-01-07,Fever Reducer,960.0,Vancouver,2.9,56.4,318.0,12.0,73.9,749.4,
2023-01-07,Fever Reducer,1101.0,Montreal,-13.6,61.5,312.0,7.0,65.4,955.9,
2023-01-07,Fever Reducer,869.0,Calgary,-8.4,57.2,305.0,12.0,,1503.31,
2023-01-08,Cold Relief,4389.8880972545385,Toronto,-3.3,68.1,288.0,35.37874956384478,73.5,2632.82,
2023-01-08,Cold Relief,1282.0,Vancouver,2.7,61.2,324.0,10.0,64.4,3368.3,
2023-01-08,Cold Relief,1420.0,Montreal,-5.0,62.1,298.0,7.0,78.9,2728.83,
2023-01-08,Cold Relief,1768.0,Calgary,-11.3,65.5,331.0,9.0,,3363.93,
2023-01-08,Allergy Relief,355.0,Toronto,2.0,62.0,272.0,6.0,57.1,1287.01,
2023-01-08,Allergy Relief,403.0,Vancouver,1.0,50.8,295.0,11.0,55.1,998.18,
2023-01-08,Allergy Relief,360.0,Montreal,-9.8,59.5,294.0,13.0,,773.28,
2023-01-08,Allergy Relief,379.0,Calgary,-17.7,60.1,307.0,6.0,49.9,992.49,
2023-01-08,Pain Relief,627.0,Toronto,-0.8,62.8,281.0,9.0,63.9,943.91,
2023-01-08,Pain Relief,704.0,Vancouver,6.6,59.6,290.0,45.48696372494328,74.9,,
2023-01-08,Pain Relief,621.0,Montreal,-5.4,66.1,280.0,13.0,,898.87,
2023-01-08,Pain Relief,699.0,Calgary,-15.9,58.1,318.0,8.0,71.7,500.0,
2023-01-08,Cough Suppressant,1194.0,Toronto,-9.1,58.9,,13.0,69.2,,
2023-01-08,Cough Suppressant,1115.0,Vancouver,6.2,52.6,344.0,5.0,76.8,1358.97,
2023-01-08,Cough Suppressant,1339.0,Montreal,-10.1,55.3,279.0,12.0,61.3,515.93,
2023-01-08,Cough Suppressant,1599.0,Calgary,-15.6,90.99431756134003,,10.0,85.4,1222.63,
2023-01-08,Fever Reducer,1102.0,Toronto,-1.1,67.8,267.0,6.0,85.1,1040.96,
2023-01-08,Fever Reducer,745.0,Vancouver,5.6,53.3,292.0,12.0,55.3,,
2023-01-08,Fever Reducer,1183.0,Montreal,-7.0,56.2,306.0,7.0,78.3,1166.87,
2023-01-08,Fever Reducer,978.0,Calgary,-8.5,56.8,304.0,13.0,74.3,890.51,
2023-01-09,Cold Relief,1589.0,Toronto,-8.1,50.2,297.0,,77.8,2916.96,
2023-01-09,Cold Relief,1330.0,Vancouver,,64.3,322.0,15.0,74.2,,
2023-01-09,Cold Relief,1539.0,Montreal,-8.5,63.7,315.0,6.0,84.0,2804.59,
2023-01-09,Cold Relief,1335.0,Calgary,-13.2,66.2,312.0,11.0,80.2,3169.65,
2023-01-09,Allergy Relief,316.0,Toronto,-2.7,,307.0,6.0,47.9,744.84,
2023-01-09,Allergy Relief,366.0,Vancouver,6.8,68.3,306.0,,,959.79,
2023-01-09,Allergy Relief,438.0,Montreal,-12.4,63.2,343.0,8.0,57.2,888.15,
2023-01-09,Allergy Relief,419.0,Calgary,-16.2,61.1,,12.0,59.3,542.3,
2023-01-09,Pain Relief,881.0,Toronto,-6.7,72.8,307.0,11.0,90.6,1362.51,
2023-01-09,Pain Relief,703.0,Vancouver,6.8,63.9,300.0,4.0,64.5,1208.92,
2023-01-09,Pain Relief,752.0,Montreal,-9.7,67.4,297.0,8.0,69.2,963.48,
2023-01-09,Pain Relief,836.0,Calgary,-13.1,54.9,307.0,5.0,88.5,888.34,
2023-01-09,Cough Suppressant,1370.0,Toronto,0.7,67.7,282.0,8.0,76.4,500.0,
2023-01-09,Cough Suppressant,854.0,Vancouver,4.6,57.7,323.0,7.0,59.1,649.02,
2023-01-09,Cough Suppressant,1389.0,Montreal,-10.1,68.9,297.0,13.0,65.0,1090.54,
2023-01-09,Cough Suppressant,1280.0,Calgary,-11.3,59.5,287.0,15.0,73.0,1274.08,
2023-01-09,Fever Reducer,841.0,Toronto,-0.5,58.6,266.0,15.0,,1265.21,
2023-01-09,Fever Reducer,709.0,Vancouver,,60.3,334.0,9.0,70.2,1238.28,
2023-01-09,Fever Reducer,928.0,Montreal,-9.1,53.2,298.0,11.0,57.7,756.92,
2023-01-09,Fever Reducer,698.0,Calgary,-11.6,54.9,321.0,10.0,65.6,678.36,
2023-01-10,Cold Relief,1527.0,Toronto,-3.7,64.5,298.0,11.0,80.2,2781.6,
2023-01-10,Cold Relief,1077.0,Vancouver,9.1,56.8,281.0,13.0,72.0,,
2023-01-10,Cold Relief,1648.0,Montreal,-10.9,52.2,242.0,10.0,78.2,3957.93,
2023-01-10,Cold Relief,1965.0,Calgary,-17.3,57.9,284.0,8.0,,3561.99,
2023-01-10,Allergy Relief,326.0,Toronto,-6.3,66.4,329.0,6.0,43.6,1308.99,
2023-01-10,Allergy Relief,417.0,Vancouver,3.8,55.2,297.0,5.0,54.2,1007.27,
2023-01-10,Allergy Relief,451.0,Montreal,-10.2,62.3,307.0,,61.9,1776.87,
2023-01-10,Allergy Relief,372.0,Calgary,-14.0,61.0,282.0,13.0,96.93790346646676,698.04,
2023-01-10,Pain Relief,647.0,Toronto,-1.0,59.4,298.0,10.0,60.0,848.57,
2023-01-10,Pain Relief,762.0,Vancouver,6.6,58.8,279.0,9.0,66.3,1365.15,
2023-01-10,Pain Relief,586.0,Montreal,,57.8,299.0,,58.2,1356.3,
2023-01-10,Pain Relief,774.0,Calgary,,61.4,285.0,8.0,67.4,1037.91,
2023-01-10,Cough Suppressant,1536.0,Toronto,-8.0,56.6,308.0,13.0,79.1,927.62,
2023-01-10,Cough Suppressant,940.0,Vancouver,10.7,59.3,298.0,10.0,65.3,839.4,
2023-01-10,Cough Suppressant,1348.0,Montreal,-9.0,61.0,288.0,8.0,82.4,1184.61,
2023-01-10,Cough Suppressant,1449.0,Calgary,-11.7,,323.0,12.0,83.1,932.96,
2023-01-10,Fever Reducer,1107.0,Toronto,-5.1,58.5,290.0,8.0,74.5,1513.18,
2023-01-10,Fever Reducer,855.0,Vancouver,4.5,60.4,266.0,11.0,76.6,1292.56,
2023-01-10,Fever Reducer,1064.0,Montreal,,65.0,301.0,8.0,70.1,1412.1,
2023-01-10,Fever Reducer,1012.0,Calgary,-12.1,68.1,305.0,7.0,78.1,926.18,
2023-01-11,Cold Relief,1443.0,Toronto,1.5,,339.0,12.0,73.8,3058.38,
2023-01-11,Cold Relief,1611.0,Vancouver,1.0,56.9,278.0,10.0,79.6,2548.58,
2023-01-11,Cold Relief,1342.0,Montreal,-9.8,52.7,285.0,5.0,83.2,3402.14,
2023-01-11,Cold Relief,1670.0,Calgary,,59.2,271.0,5.0,86.7,3322.8,
2023-01-11,Allergy Relief,309.0,Toronto,0.7,59.7,288.0,9.0,52.7,1152.62,
2023-01-11,Allergy Relief,325.0,Vancouver,7.7,57.6,287.0,11.0,51.5,919.44,
2023-01-11,Allergy Relief,347.0,Montreal,-16.5,56.4,276.0,13.0,47.8,805.0,
2023-01-11,Allergy Relief,397.0,Calgary,-13.7,54.5,305.0,12.0,64.1,656.88,
2023-01-11,Pain Relief,732.0,Toronto,-5.1,59.0,289.0,11.0,71.6,691.7,
2023-01-11,Pain Relief,655.0,Vancouver,2.4,64.8,310.0,12.0,74.3,1300.17,
2023-01-11,Pain Relief,759.0,Montreal,-5.8,58.7,318.0,15.0,77.9,500.0,
2023-01-11,Pain Relief,772.0,Calgary,-20.0,65.2,294.0,9.0,81.3,907.59,
2023-01-11,Cough Suppressant,1366.0,Toronto,-1.1,67.0,292.0,9.0,84.6,1484.67,
2023-01-11,Cough Suppressant,1459.0,Vancouver,3.2,59.9,310.0,10.0,,1163.89,
2023-01-11,Cough Suppressant,1522.0,Montreal,-11.3,59.5,280.0,13.0,80.6,911.36,
2023-01-11,Cough Suppressant,1458.0,Calgary,-16.0,65.9,346.0,9.0,78.7,641.82,
2023-01-11,Fever Reducer,673.0,Toronto,0.2,71.2,2771.1467681794556,9.0,57.1,813.75,
2023-01-11,Fever Reducer,2216.107420996954,Vancouver,3.6,50.1,304.0,9.0,72.5,500.0,
2023-01-11,Fever Reducer,1209.0,Montreal,-6.7,69.8,306.0,9.0,91.4,549.11,
2023-01-11,Fever Reducer,965.0,Calgary,-13.6,65.4,277.0,6.0,66.0,1186.47,
2023-01-12,Cold Relief,1362.0,Toronto,-3.9,59.9,299.0,11.0,70.9,2803.87,
2023-01-12,Cold Relief,1403.0,Vancouver,9.1,49.3,,13.0,100.0,3166.68,
2023-01-12,Cold Relief,1693.0,Montreal,-10.6,59.2,321.0,9.0,86.6,3058.42,
2023-01-12,Cold Relief,1831.0,Calgary,,65.6,310.0,8.0,89.5,2811.98,
2023-01-12,Allergy Relief,438.0,Toronto,-2.1,,289.0,,58.0,1226.29,
2023-01-12,Allergy Relief,374.0,Vancouver,,61.8,272.0,,60.7,797.45,
2023-01-12,Allergy Relief,320.0,Montreal,-12.4,58.5,301.0,4.0,56.6,1281.27,
2023-01-12,Allergy Relief,858.6282504271963,Calgary,-17.3,56.2,295.0,8.0,40.6,1190.63,
2023-01-12,Pain Relief,586.0,Toronto,-4.8,61.4,293.0,6.0,39.8,,
2023-01-12,Pain Relief,607.0,Vancouver,8.7,61.0,2524.0381391698224,10.0,65.1,1117.72,
2023-01-12,Pain Relief,634.0,Montreal,-10.1,51.2,289.0,,61.8,1336.31,
2023-01-12,Pain Relief,637.0,Calgary,-15.0,58.4,320.0,7.0,71.6,802.57,
2023-01-12,Cough Suppressant,1494.0,Toronto,-9.0,55.9,320.0,9.0,78.9,969.03,
2023-01-12,Cough Suppressant,1417.0,Vancouver,3.3,47.8,307.0,12.0,73.7,1026.6,
2023-01-12,Cough Suppressant,1227.0,Montreal,,58.4,315.0,3.0,75.0,1180.36,
2023-01-12,Cough Suppressant,1300.0,Calgary,-21.9,57.2,293.0,13.0,62.8,1098.02,
2023-01-12,Fever Reducer,912.0,Toronto,-3.1,54.3,299.0,7.0,49.5,1245.37,
2023-01-12,Fever Reducer,858.0,Vancouver,2.3,55.7,307.0,12.0,76.3,901.41,
2023-01-12,Fever Reducer,692.0,Montreal,-11.6,,275.0,8.0,62.7,701.7,
2023-01-12,Fever Reducer,1154.0,Calgary,-15.6,72.1,309.0,6.0,72.8,1201.86,
2023-01-13,Cold Relief,1650.0,Toronto,-6.1,57.1,315.0,8.0,81.6,3015.27,
2023-01-13,Cold Relief,1098.0,Vancouver,5.7,58.9,295.0,4.0,94.9,2969.02,
2023-01-13,Cold Relief,1393.0,Montreal,-10.5,,336.0,18.0,67.4,2815.09,
2023-01-13,Cold Relief,1541.0,Calgary,-16.0,66.4,304.0,13.0,,3474.16,
2023-01-13,Allergy Relief,315.0,Toronto,-20.865963918266935,53.7,329.0,10.0,46.8,1045.53,
2023-01-13,Allergy Relief,403.0,Vancouver,11.3,52.0,300.0,4.0,51.8,945.88,
2023-01-13,Allergy Relief,288.0,Montreal,-16.6,67.7,258.0,9.0,45.7,1176.57,
2023-01-13,Allergy Relief,313.0,Calgary,-13.6,70.1,269.0,,36.4,1127.77,
2023-01-13,Pain Relief,707.0,Toronto,-6.9,62.4,299.0,7.0,60.4,1141.72,
2023-01-13,Pain Relief,645.0,Vancouver,6.1,58.4,331.0,,70.0,1264.7,
2023-01-13,Pain Relief,676.0,Montreal,-11.4,61.3,296.0,10.0,66.4,805.74,
2023-01-13,Pain Relief,776.0,Calgary,-15.5,56.8,295.0,,83.2,794.61,
2023-01-13,Cough Suppressant,1397.0,Toronto,-10.9,64.5,308.0,5.0,70.9,1205.9,
2023-01-13,Cough Suppressant,995.0,Vancouver,6.8,69.9,301.0,8.0,59.4,943.26,
2023-01-13,Cough Suppressant,1092.0,Montreal,-10.4,67.6,300.0,11.0,83.9,873.77,
2023-01-13,Cough Suppressant,1408.0,Calgary,-14.4,62.2,291.0,13.0,79.0,500.0,
2023-01-13,Fever Reducer,917.0,Toronto,-6.5,59.6,277.0,10.0,54.1,674.25,
2023-01-13,Fever Reducer,793.0,Vancouver,1.6,63.3,296.0,8.0,69.6,860.68,
2023-01-13,Fever Reducer,908.0,Montreal,-7.6,58.7,313.0,11.0,65.9,757.52,
2023-01-13,Fever Reducer,1065.0,Calgary,-13.4,62.1,,8.0,79.0,6241.015267332034,
2023-01-14,Cold Relief,1628.0,Toronto,-6.2,61.3,301.0,9.0,85.3,3266.3,
2023-01-14,Cold Relief,1092.0,Vancouver,10.4,61.2,312.0,8.0,85.0,2832.51,
2023-01-14,Cold Relief,1550.0,Montreal,-8.7,63.9,312.0,17.0,69.1,2883.87,
2023-01-14,Cold Relief,1724.0,Calgary,-12.5,58.5,320.0,9.0,79.3,,
2023-01-14,Allergy Relief,351.0,Toronto,-3.5,60.2,262.0,10.0,45.2,741.17,
2023-01-14,Allergy Relief,378.0,Vancouver,3.8,65.3,287.0,11.0,56.2,889.22,
2023-01-14,Allergy Relief,327.0,Montreal,-15.3,62.0,290.0,11.0,43.7,1460.12,
2023-01-14,Allergy Relief,1033.9819072045814,Calgary,-20.1,54.4,264.0,12.0,,892.07,
2023-01-14,Pain Relief,687.0,Toronto,-6.2,61.3,,4.0,67.7,722.73,
2023-01-14,Pain Relief,534.0,Vancouver,8.1,,295.0,7.0,60.7,723.44,
2023-01-14,Pain Relief,678.0,Montreal,-9.4,60.3,305.0,8.0,86.7,1402.14,
2023-01-14,Pain Relief,630.0,Calgary,-12.5,64.1,311.0,8.0,58.5,1305.3,
2023-01-14,Cough Suppressant,1143.0,Toronto,-3.3,61.7,284.0,12.0,72.7,986.96,
2023-01-14,Cough Suppressant,1018.0,Vancouver,6.5,62.9,295.0,7.0,74.4,992.93,
